ID_GENE,COSMIC_ID_GENE,GENE_SYMBOL,GENOME_VERSION,FULL_NAME,CHROMOSOME,CHROM_ARM,CHROM_BAND,HGNC_ID,OMIM_ID,ENTREZ_GENE_ID,ENSEMBL_GENE_ID,ENSEMBL_ID_VERSION,FROM_DB,ID_BIOTYPE,VERSION
240,,ELOCP8,37,elongin C pseudogene 8,24,q,11.222,38144,,,ENSG00000234131,1,Ensembl,49,93
241,,FAM3D,37,family with sequence similarity 3 member D,3,p,14.2,18665,608619,131177,ENSG00000198643,2,Ensembl,23,93
242,,RP11-420B22.2,37,,8,p,22,,,,ENSG00000270255,1,Ensembl,49,93
243,,RP11-368G3.1,37,,23,q,22.1,,,,ENSG00000229946,2,Ensembl,49,93
244,,USP46,37,ubiquitin specific peptidase 46,4,q,12,20075,612849,64854,ENSG00000109189,8,Ensembl,23,93
245,,TMEM233,37,transmembrane protein 233,12,q,24.23,37219,,387890,ENSG00000224982,2,Ensembl,23,93
246,,RP11-379L18.1,37,,18,q,12.1,,,,ENSG00000267746,1,Ensembl,29,93
247,,HNRNPA1P33,37,heterogeneous nuclear ribonucleoprotein A1 pseudogene 33,10,q,11.22,44990,,,ENSG00000213412,3,Ensembl,49,93
248,,FBXO39,37,F-box protein 39,17,p,13.1,28565,609106,162517,ENSG00000177294,6,Ensembl,23,93
249,,RP11-521B24.5,37,,14,q,32.33,,,,ENSG00000257270,1,Ensembl,29,93
250,,PRC1,37,protein regulator of cytokinesis 1,15,q,26.1,9341,603484,9055,ENSG00000198901,9,Ensembl,23,93
251,,RP11-45F15.1,37,,11,q,13.4,,,,ENSG00000256739,1,Ensembl,29,93
252,,NCAPH2,37,non-SMC condensin II complex subunit H2,22,q,13.33,25071,611230,29781,ENSG00000025770,14,Ensembl,23,93
253,,AL512652.1,37,,13,q,12.11,,,,ENSG00000203614,3,Ensembl,49,93
254,,PHF23,37,PHD finger protein 23,17,p,13.1,28428,612910,79142,ENSG00000040633,8,Ensembl,23,93
255,,RBBP5,37,"RB binding protein 5, histone lysine methyltransferase complex subunit",1,q,32.1,9888,600697,5929,ENSG00000117222,9,Ensembl,23,93
256,,AC113342.1,37,,5,q,35.1,,,,ENSG00000266671,1,Ensembl,10,93
257,,FTCD-AS1,37,FTCD antisense RNA 1,21,q,22.3,40243,,,ENSG00000237338,1,Ensembl,29,93
258,,RP11-298O21.5,37,,3,q,26.2,,,,ENSG00000244227,1,Ensembl,45,93
259,,RNU6-697P,37,"RNA, U6 small nuclear 697, pseudogene",10,q,22.1,47660,,,ENSG00000200218,1,Ensembl,32,93
260,,LMTK2,37,lemur tyrosine kinase 2,7,q,21.3,17880,610989,22853,ENSG00000164715,5,Ensembl,23,93
261,,RP11-68I3.10,37,,17,q,11.2,,,,ENSG00000264007,1,Ensembl,3,93
262,,AL118508.1,37,,20,p,11.21,,,,ENSG00000256492,1,Ensembl,49,93
263,,snoU13,37,,11,q,23.3,,,,ENSG00000238625,1,Ensembl,9,93
264,,RP5-1085F17.3,37,,20,q,11.21,,,,ENSG00000260257,1,Ensembl,45,93
265,,UGT1A7,37,UDP glucuronosyltransferase family 1 member A7,2,q,37.1,12539,191740,54576,ENSG00000244122,2,Ensembl,23,93
266,,RP11-18D7.3,37,,4,q,35.1,,,,ENSG00000248816,1,Ensembl,29,93
267,,LA16c-329F2.1,37,,16,p,13.3,,,101929480,ENSG00000261399,1,Ensembl,29,93
268,,SNORA5,37,,3,q,21.1,,,,ENSG00000207002,1,Ensembl,9,93
269,,MYPN,37,myopalladin,10,q,21.3,23246,608517,84665,ENSG00000138347,11,Ensembl,23,93
270,,CTC-490E21.12,37,,19,q,13.2,,,,ENSG00000268797,1,Ensembl,23,93
271,,SEL1L3,37,SEL1L family member 3,4,p,15.2,29108,,23231,ENSG00000091490,6,Ensembl,23,93
272,,RN7SKP60,37,"RNA, 7SK small nuclear pseudogene 60",5,q,34,45784,,,ENSG00000252794,1,Ensembl,19,93
273,,HIGD1AP1,37,HIG1 hypoxia inducible domain family member 1A pseudogene 1,12,q,13.13,22804,,,ENSG00000258016,1,Ensembl,49,93
274,,CTD-2530N21.4,37,,8,p,21.3,,,100507071,ENSG00000254064,1,Ensembl,29,93
275,,RP11-94B19.4,37,,18,q,23,,,,ENSG00000266614,1,Ensembl,23,93
276,,SUGT1,37,"SGT1 homolog, MIS12 kinetochore complex assembly cochaperone",13,q,14.3,16987,604098,10910,ENSG00000165416,10,Ensembl,23,93
277,,RP11-596D21.1,37,,14,q,12,,,,ENSG00000257831,1,Ensembl,29,93
278,,RP11-390F4.3,37,,9,p,24.1,,,,ENSG00000225489,2,Ensembl,45,93
279,,RP11-776A13.2,37,,12,p,11.22,,,,ENSG00000258202,1,Ensembl,49,93
280,,BAZ2B,37,bromodomain adjacent to zinc finger domain 2B,2,q,24.2,963,605683,29994,ENSG00000123636,13,Ensembl,23,93
281,,MIR422A,37,microRNA 422a,15,q,22.31,31879,,494334,ENSG00000199156,1,Ensembl,10,93
282,,SERPINB7,37,serpin family B member 7,18,q,21.33,13902,603357,8710,ENSG00000166396,8,Ensembl,23,93
283,,CDH12P4,37,cadherin 12 pseudogene 4,5,q,13.2,37700,,,ENSG00000253900,1,Ensembl,49,93
284,,RP11-746M1.1,37,,17,p,11.2,,,,ENSG00000263986,1,Ensembl,29,93
285,,CPNE7,37,copine 7,16,q,24.3,2320,605689,27132,ENSG00000178773,10,Ensembl,23,93
286,,RP3-402G11.26,37,,22,q,13.33,,,,ENSG00000273253,1,Ensembl,29,93
287,,ZNF709,37,,19,p,13.2,,,163051,ENSG00000196826,7,Ensembl,23,93
288,,RNU6-485P,37,"RNA, U6 small nuclear 485, pseudogene",12,p,13.31,47448,,,ENSG00000200345,2,Ensembl,32,93
289,,RP4-728D4.3,37,,1,p,34.3,,,,ENSG00000236274,1,Ensembl,49,93
290,,MIR5697,37,microRNA 5697,1,p,36.22,43509,,100847055,ENSG00000265521,1,Ensembl,10,93
291,,VN1R108P,37,vomeronasal 1 receptor 108 pseudogene,20,p,11.1,37432,,,ENSG00000230772,1,Ensembl,49,93
292,,AL583832.1,37,,1,q,32.1,,,,ENSG00000251696,1,Ensembl,10,93
293,,RP11-141M3.5,37,,3,p,22.1,,,,ENSG00000273328,1,Ensembl,40,93
294,,RP11-775C24.3,37,,15,q,25.1,,,,ENSG00000260619,1,Ensembl,45,93
295,,RP11-574K11.8,37,,10,q,22.2,,,,ENSG00000229990,2,Ensembl,29,93
296,,AC105941.1,37,,1,q,32.1,,,,ENSG00000239006,1,Ensembl,10,93
297,,RNA5SP128,37,"RNA, 5S ribosomal pseudogene 128",3,p,22.3,43028,,,ENSG00000202175,1,Ensembl,27,93
298,,GHRLOS,37,ghrelin opposite strand/antisense RNA,3,p,25.3,33885,,100126793,ENSG00000240288,3,Ensembl,29,93
299,,HAUS4,37,HAUS augmin like complex subunit 4,14,q,11.2,20163,613431,54930,ENSG00000092036,12,Ensembl,23,93
300,,CTD-3020H12.4,37,,19,p,13.2,,,,ENSG00000271717,1,Ensembl,29,93
301,,LINC00629,37,long intergenic non-protein coding RNA 629,23,q,26.3,44262,,100506757,ENSG00000227060,2,Ensembl,45,93
302,,RP11-21I10.2,37,,4,q,26,,,,ENSG00000249356,1,Ensembl,45,93
303,,CD6,37,CD6 molecule,11,q,12.2,1691,186720,923,ENSG00000013725,10,Ensembl,23,93
304,,BRINP1,37,BMP/retinoic acid inducible neural specific 1,9,q,33.1,2687,602865,1620,ENSG00000078725,8,Ensembl,23,93
305,,MTND1P19,37,MT-ND1 pseudogene 19,4,q,22.1,42094,,,ENSG00000251449,2,Ensembl,49,93
306,,AC132872.1,37,,17,q,25.3,,,,ENSG00000184551,4,Ensembl,49,93
307,,SNORA73,37,,2,p,25.3,,,,ENSG00000252531,1,Ensembl,9,93
308,,GFER,37,"growth factor, augmenter of liver regeneration",16,p,13.3,4236,600924,2671,ENSG00000127554,12,Ensembl,23,93
309,,ZNF648,37,zinc finger protein 648,1,q,25.3,18190,,127665,ENSG00000179930,5,Ensembl,23,93
310,,RP11-365H8.2,37,,5,q,11.2,,,,ENSG00000251435,1,Ensembl,49,93
311,,PFN1P12,37,profilin 1 pseudogene 12,1,q,21.2,42995,,,ENSG00000226028,2,Ensembl,49,93
312,,PBX1,37,PBX homeobox 1,1,q,23.3,8632,176310,5087,ENSG00000185630,14,Ensembl,23,93
313,,RNU6-584P,37,"RNA, U6 small nuclear 584, pseudogene",1,p,34.3,47547,,,ENSG00000222282,1,Ensembl,32,93
314,,RN7SK,37,"RNA, 7SK small nuclear",6,p,12.2,10037,606515,125050,ENSG00000202198,1,Ensembl,19,93
315,,CDPF1,37,cysteine rich DPF motif domain containing 1,22,q,13.31,33710,,150383,ENSG00000205643,6,Ensembl,23,93
316,,AC007308.6,37,,22,q,11.21,,,,ENSG00000234252,1,Ensembl,29,93
317,,GRPEL2P1,37,"GrpE like 2, mitochondrial pseudogene 1",13,q,31.2,41969,,,ENSG00000233211,2,Ensembl,49,93
318,,RP5-1170K4.7,37,,22,q,12.3,,,,ENSG00000231467,2,Ensembl,29,93
319,,RP11-10G12.1,37,,4,p,15.2,,,,ENSG00000244538,1,Ensembl,49,93
320,,CTD-2308B18.4,37,,5,q,23.2,,,,ENSG00000248600,1,Ensembl,45,93
321,,RP11-845C23.2,37,,18,q,21.31,,,,ENSG00000267504,1,Ensembl,3,93
322,,RP11-40H20.5,37,,1,p,36.11,,,,ENSG00000229985,2,Ensembl,49,93
323,,FPGT,37,fucose-1-phosphate guanylyltransferase,1,p,31.1,3825,603609,8790,ENSG00000254685,2,Ensembl,23,93
324,,KLRK1,37,killer cell lectin like receptor K1,12,p,13.2,18788,611817,22914,ENSG00000213809,4,Ensembl,23,93
325,,AC012506.3,37,,2,p,24.1,,,,ENSG00000223634,1,Ensembl,45,93
326,,CTD-2318H23.1,37,,5,p,15.32,,,,ENSG00000251371,1,Ensembl,45,93
327,,NELFCD,37,negative elongation factor complex member C/D,20,q,13.32,15934,605297,51497,ENSG00000101158,8,Ensembl,23,93
328,,CETN4P,37,"centrin 4, pseudogene",4,q,27,35450,,,ENSG00000224786,1,Ensembl,49,93
329,,NPM1P36,37,nucleophosmin 1 pseudogene 36,6,p,12.1,45215,,,ENSG00000214604,3,Ensembl,49,93
330,,MIR5587,37,microRNA 5587,16,p,13.3,43508,,100847028,ENSG00000266124,1,Ensembl,10,93
331,,UNC79,37,"unc-79 homolog, NALCN channel complex subunit",14,q,32.12,19966,,57578,ENSG00000133958,9,Ensembl,23,93
332,,Y_RNA,37,,17,p,11.2,,,,ENSG00000201378,1,Ensembl,19,93
333,,DERA,37,deoxyribose-phosphate aldolase,12,p,12.3,24269,,51071,ENSG00000023697,8,Ensembl,23,93
334,,RNU6-329P,37,"RNA, U6 small nuclear 329, pseudogene",9,q,31.1,47292,,,ENSG00000238882,1,Ensembl,32,93
335,,PLCB2,37,phospholipase C beta 2,15,q,15.1,9055,604114,5330,ENSG00000137841,7,Ensembl,23,93
336,,AL034548.1,37,,20,p,13,,,,ENSG00000247315,2,Ensembl,49,93
337,,RP11-119H12.5,37,,4,q,25,,,,ENSG00000228814,4,Ensembl,49,93
338,,RP4-575N6.4,37,,1,p,21.2,,,101928370,ENSG00000225938,1,Ensembl,29,93
339,,RP11-496I2.2,37,,14,q,11.2,,,,ENSG00000257310,1,Ensembl,45,93
340,,RP11-6B19.3,37,,12,p,12.3,,,,ENSG00000256627,1,Ensembl,49,93
341,,RRAS2,37,RAS related 2,11,p,15.2,17271,600098,22800,ENSG00000133818,8,Ensembl,23,93
342,,RP11-483E23.2,37,,15,q,13.1,,,,ENSG00000237850,3,Ensembl,49,93
343,,DNM1,37,dynamin 1,9,q,34.11,2972,602377,1759,ENSG00000106976,14,Ensembl,23,93
344,,RP11-367J11.2,37,,4,p,16.1,,,100129931,ENSG00000245748,1,Ensembl,29,93
345,,AC009227.3,37,,2,q,24.1,,,,ENSG00000238004,1,Ensembl,45,93
346,,RP11-252K23.2,37,,16,q,23.1,,,,ENSG00000261783,1,Ensembl,3,93
347,,MRPL2P1,37,mitochondrial ribosomal protein L2 pseudogene 1,12,q,21.33,29698,,,ENSG00000257480,1,Ensembl,49,93
348,,OR7E122P,37,olfactory receptor family 7 subfamily E member 122 pseudogene,3,p,25.3,15050,,79315,ENSG00000215160,2,Ensembl,49,93
349,,DISC1-IT1,37,DISC1 intronic transcript 1,1,q,42.2,41325,,,ENSG00000226758,1,Ensembl,3,93
350,,SNRPGP4,37,small nuclear ribonucleoprotein polypeptide G pseudogene 4,17,q,24.3,39323,,,ENSG00000267203,1,Ensembl,49,93
351,,RBM22P2,37,RNA binding motif protein 22 pseudogene 2,13,q,12.3,39695,,,ENSG00000213411,2,Ensembl,49,93
352,,RP11-1020A11.1,37,,3,p,25.3,,,,ENSG00000269894,1,Ensembl,3,93
353,,CTC-498M16.3,37,,5,q,14.3,,,,ENSG00000250306,1,Ensembl,49,93
354,,RP4-745K6.1,37,,7,q,31.32,,,,ENSG00000227743,1,Ensembl,45,93
355,,YY2,37,YY2 transcription factor,23,p,22.12,31684,300570,404281,ENSG00000230797,2,Ensembl,23,93
356,,LRRC56,37,leucine rich repeat containing 56,11,p,15.5,25430,,115399,ENSG00000161328,10,Ensembl,23,93
357,,snoU13,37,,21,q,22.2,,,,ENSG00000238556,1,Ensembl,9,93
358,,ATP8A2P2,37,ATPase phospholipid transporting 8A2 pseudogene 2,13,q,13.1,39663,,,ENSG00000229800,1,Ensembl,49,93
359,,SLC2A2,37,solute carrier family 2 member 2,3,q,26.2,11006,138160,6514,ENSG00000163581,9,Ensembl,23,93
360,,RARRES1,37,retinoic acid receptor responder 1,3,q,25.32,9867,605090,5918,ENSG00000118849,5,Ensembl,23,93
361,,RP11-493L12.6,37,,12,q,13.11,,,,ENSG00000258116,1,Ensembl,49,93
362,,RP11-171G2.1,37,,17,q,24.3,,,,ENSG00000264196,1,Ensembl,29,93
363,,UAP1,37,UDP-N-acetylglucosamine pyrophosphorylase 1,1,q,23.3,12457,602862,6675,ENSG00000117143,9,Ensembl,23,93
364,,MIR181D,37,microRNA 181d,19,p,13.13,32089,,574457,ENSG00000207585,1,Ensembl,10,93
365,,KB-1572G7.3,37,,22,q,11.23,,,,ENSG00000211683,3,Ensembl,40,93
366,,RP11-345J4.8,37,,16,p,11.2,,,,ENSG00000205534,5,Ensembl,49,93
367,,RP11-675F6.4,37,,8,p,11.22,,,,ENSG00000254100,1,Ensembl,45,93
368,,ZNF37A,37,zinc finger protein 37A,10,p,11.1,13102,,7587,ENSG00000075407,13,Ensembl,23,93
369,,RP11-100L22.2,37,,8,q,22.1,,,441369,ENSG00000248858,3,Ensembl,40,93
370,,RP11-106A1.3,37,,9,p,24.1,,,,ENSG00000229057,1,Ensembl,49,93
371,,ARRB1,37,arrestin beta 1,11,q,13.4,711,107940,408,ENSG00000137486,12,Ensembl,23,93
372,,CTD-2012K14.2,37,,16,q,22.1,,,,ENSG00000261396,1,Ensembl,29,93
373,,JOSD1,37,Josephin domain containing 1,22,q,13.1,28953,615323,9929,ENSG00000100221,6,Ensembl,23,93
374,,RNU6-56P,37,"RNA, U6 small nuclear 56, pseudogene",13,q,13.3,42546,,100873764,ENSG00000252795,1,Ensembl,32,93
375,,CTD-2102P23.1,37,,19,q,13.41,,,,ENSG00000255875,2,Ensembl,49,93
376,,AL590558.1,37,,6,q,12,,,,ENSG00000266682,1,Ensembl,10,93
377,,RP11-1109M24.9,37,,17,p,11.2,,,,ENSG00000264939,1,Ensembl,49,93
378,,GTF2IRD2,37,GTF2I repeat domain containing 2,7,q,11.23,30775,608899,84163,ENSG00000196275,9,Ensembl,23,93
379,,AC079145.4,37,,2,p,24.1,,,,ENSG00000227210,1,Ensembl,29,93
380,,RP11-222A5.1,37,,1,q,25.1,,,101928751,ENSG00000224718,1,Ensembl,45,93
381,,RPL12P3,37,ribosomal protein L12 pseudogene 3,20,q,11.21,16335,,,ENSG00000233106,1,Ensembl,49,93
382,,RP11-489M13.2,37,,4,p,16.3,,,,ENSG00000248669,1,Ensembl,49,93
383,,LIN28B-AS1,37,LIN28B antisense RNA 1,6,q,16.3,21553,,100113403,ENSG00000203809,5,Ensembl,45,93
384,,AC007000.10,37,,7,q,11.23,,,,ENSG00000225726,1,Ensembl,49,93
385,,LIG4,37,DNA ligase 4,13,q,33.3,6601,601837,3981,ENSG00000174405,9,Ensembl,23,93
386,,TPD52L2,37,TPD52 like 2,20,q,13.33,12007,603747,7165,ENSG00000101150,13,Ensembl,23,93
387,,EIF4E2P1,37,eukaryotic translation initiation factor 4E family member 2 pseudogene 1,20,p,11.23,16237,,,ENSG00000213384,2,Ensembl,49,93
388,,RP13-57D9.3,37,,23,q,13.1,,,,ENSG00000228160,1,Ensembl,45,93
389,,CRTAM,37,cytotoxic and regulatory T cell molecule,11,q,24.1,24313,612597,56253,ENSG00000109943,4,Ensembl,23,93
390,,RP11-889D3.2,37,,3,p,14.3,,,,ENSG00000243572,1,Ensembl,45,93
391,,MARVELD3,37,MARVEL domain containing 3,16,q,22.2,30525,614094,91862,ENSG00000140832,5,Ensembl,23,93
392,,AC093074.1,37,,19,q,12,,,,ENSG00000267238,1,Ensembl,45,93
393,,PROB1,37,proline rich basic protein 1,5,q,31.2,41906,,389333,ENSG00000228672,2,Ensembl,23,93
394,,CTD-2089N3.1,37,,5,q,11.1,,,,ENSG00000250360,1,Ensembl,45,93
395,,RP11-438P9.2,37,,9,q,31.2,,,,ENSG00000227350,1,Ensembl,49,93
396,,DNAI2,37,dynein axonemal intermediate chain 2,17,q,25.1,18744,605483,64446,ENSG00000171595,9,Ensembl,23,93
397,,ARMCX3,37,armadillo repeat containing X-linked 3,23,q,22.1,24065,300364,51566,ENSG00000102401,15,Ensembl,23,93
398,,YBX1P4,37,Y-box binding protein 1 pseudogene 4,7,q,36.1,42425,,,ENSG00000213188,3,Ensembl,49,93
399,,ZW10,37,zw10 kinetochore protein,11,q,23.2,13194,603954,9183,ENSG00000086827,4,Ensembl,23,93
400,,RP11-215P8.4,37,,5,q,31.1,,,102546229,ENSG00000250564,1,Ensembl,45,93
401,,ASCL2,37,achaete-scute family bHLH transcription factor 2,11,p,15.5,739,601886,430,ENSG00000183734,4,Ensembl,23,93
402,,RP11-30K9.4,37,,15,q,22.1,,,,ENSG00000259402,1,Ensembl,3,93
403,,RP11-125N22.4,37,,12,q,11,,,,ENSG00000257794,1,Ensembl,49,93
404,,LINC00555,37,long intergenic non-protein coding RNA 555,13,q,33.1,43699,,,ENSG00000261057,1,Ensembl,29,93
405,,HMGCLL1,37,3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1,6,p,12.1,21359,,54511,ENSG00000146151,8,Ensembl,23,93
406,,Y_RNA,37,,3,q,21.2,,,,ENSG00000201800,1,Ensembl,19,93
407,,LRRC3DN,37,LRRC3 downstream neighbor,21,q,22.3,1270,,,ENSG00000269430,1,Ensembl,23,93
408,,ATP5IF1,37,ATP synthase inhibitory factor subunit 1,1,p,35.3,871,614981,93974,ENSG00000130770,13,Ensembl,23,93
409,,RP11-760D2.4,37,,7,p,11.2,,,,ENSG00000223740,1,Ensembl,49,93
410,,RP11-109N23.5,37,,14,q,24.2,,,,ENSG00000258448,1,Ensembl,49,93
411,,PABPC1L2B,37,poly(A) binding protein cytoplasmic 1 like 2B,23,q,13.2,31852,,340529,ENSG00000184388,4,Ensembl,23,93
412,,HIGD1AP17,37,HIG1 hypoxia inducible domain family member 1A pseudogene 17,14,q,12,43012,,,ENSG00000258886,2,Ensembl,49,93
413,,RP11-142L1.3,37,,3,p,12.2,,,,ENSG00000240404,1,Ensembl,49,93
414,,CITF22-24E5.1,37,,22,q,12.3,,,,ENSG00000234979,1,Ensembl,29,93
415,,TPM3P3,37,tropomyosin 3 pseudogene 3,8,q,21.2,39166,,,ENSG00000254195,1,Ensembl,49,93
416,,HPDL,37,4-hydroxyphenylpyruvate dioxygenase like,1,p,34.1,28242,,84842,ENSG00000186603,4,Ensembl,23,93
417,,AC021188.4,37,,2,q,11.2,,,,ENSG00000230747,1,Ensembl,29,93
418,,SEMA3B-AS1,37,SEMA3B antisense RNA 1 (head to head),3,p,21.31,49096,,101928931,ENSG00000232352,1,Ensembl,29,93
419,,AC007560.2,37,,2,p,16.3,,,,ENSG00000215968,2,Ensembl,10,93
420,,TRAV41,37,T cell receptor alpha variable 41,14,q,11.2,12142,,,ENSG00000211820,1,Ensembl,6,93
421,,SSX2B,37,SSX family member 2B,23,p,11.22,22263,300192,6757,ENSG00000157950,10,Ensembl,23,93
422,,MAPK8,37,mitogen-activated protein kinase 8,10,q,11.22,6881,601158,5599,ENSG00000107643,11,Ensembl,23,93
423,,MSMB,37,microseminoprotein beta,10,q,11.23,7372,157145,4477,ENSG00000138294,9,Ensembl,23,93
424,,RP11-162D16.2,37,,9,q,33.2,,,,ENSG00000227355,1,Ensembl,29,93
425,,RNU4ATAC5P,37,"RNA, U4atac small nuclear 5, pseudogene",11,q,24.1,46891,,,ENSG00000253035,1,Ensembl,32,93
426,,QKI,37,"QKI, KH domain containing RNA binding",6,q,26,21100,609590,9444,ENSG00000112531,12,Ensembl,23,93
427,,AC005306.3,37,,19,p,13.3,,,,ENSG00000267283,1,Ensembl,29,93
428,,ZNF355P,37,"zinc finger protein 355, pseudogene",21,q,11.2,17218,,,ENSG00000168122,4,Ensembl,49,93
429,,RP11-319G9.5,37,,16,q,23.1,,,,ENSG00000261537,1,Ensembl,3,93
430,,KRTAP10-1,37,keratin associated protein 10-1,21,q,22.3,22966,,386677,ENSG00000215455,4,Ensembl,23,93
431,,RNU7-155P,37,"RNA, U7 small nuclear 155 pseudogene",17,q,24.3,45689,,,ENSG00000238759,1,Ensembl,32,93
432,,RP11-467I20.5,37,,1,q,43,,,,ENSG00000234872,2,Ensembl,49,93
433,,CDYL,37,chromodomain Y like,6,p,25.1,1811,603778,9425,ENSG00000153046,13,Ensembl,23,93
434,,RP11-378A12.1,37,,8,p,23.2,,,101927815,ENSG00000249694,2,Ensembl,45,93
435,,OLIG2,37,oligodendrocyte transcription factor 2,21,q,22.11,9398,606386,10215,ENSG00000205927,4,Ensembl,23,93
436,,NUBP2,37,nucleotide binding protein 2,16,p,13.3,8042,610779,10101,ENSG00000095906,12,Ensembl,23,93
437,,MIR3670-2,37,microRNA 3670-2,16,p,13.11,43460,,100500910,ENSG00000264722,1,Ensembl,10,93
438,,AC104472.1,37,,3,q,25.31,,,,ENSG00000214919,2,Ensembl,23,93
439,,CTD-2201E18.2,37,,5,p,12,,,,ENSG00000249516,1,Ensembl,49,93
440,,ZNF285B,37,zinc finger protein 285B (pseudogene),19,q,13.31,33262,,,ENSG00000176761,6,Ensembl,49,93
441,,RP5-1147A1.2,37,,7,p,14.1,,,,ENSG00000273444,1,Ensembl,49,93
442,,C2orf70,37,chromosome 2 open reading frame 70,2,p,23.3,27938,,339778,ENSG00000173557,10,Ensembl,23,93
443,,MAPKAP1,37,mitogen-activated protein kinase associated protein 1,9,q,33.3,18752,610558,79109,ENSG00000119487,12,Ensembl,23,93
444,,MIR3156-2,37,microRNA 3156-2,18,p,11.21,38213,,100422907,ENSG00000265499,1,Ensembl,10,93
445,,LYRM2,37,LYR motif containing 2,6,q,15,25229,,57226,ENSG00000083099,6,Ensembl,23,93
446,,AC093668.3,37,,7,q,22.1,,,,ENSG00000271745,1,Ensembl,10,93
447,,HMGB1P26,37,high mobility group box 1 pseudogene 26,1,q,42.13,39117,,,ENSG00000225984,1,Ensembl,49,93
448,,PDZD8,37,PDZ domain containing 8,10,q,26.11,26974,614235,118987,ENSG00000165650,7,Ensembl,23,93
449,,IGLV3-21,37,immunoglobulin lambda variable 3-21,22,q,11.22,5905,,,ENSG00000211662,2,Ensembl,31,93
450,,LINC00515,37,long intergenic non-protein coding RNA 515,21,q,21.3,16019,,282566,ENSG00000260583,1,Ensembl,29,93
451,,VSIG10,37,V-set and immunoglobulin domain containing 10,12,q,24.23,26078,,54621,ENSG00000176834,9,Ensembl,23,93
452,,VENTXP5,37,VENT homeobox pseudogene 5,8,p,12,32214,,,ENSG00000253569,1,Ensembl,49,93
453,,PSMB3P2,37,proteasome subunit beta 3 pseudogene 2,2,q,35,30150,,,ENSG00000235444,2,Ensembl,49,93
454,,ASS1P10,37,argininosuccinate synthetase 1 pseudogene 10,5,q,32,760,,,ENSG00000215325,4,Ensembl,49,93
455,,RP11-989E6.2,37,,16,p,11.2,,,,ENSG00000260047,1,Ensembl,49,93
456,,LINC00381,37,long intergenic non-protein coding RNA 381,13,q,22.1,42708,,100874151,ENSG00000226240,1,Ensembl,29,93
457,,RNA5S5,37,"RNA, 5S ribosomal 5",1,q,42.13,34366,,100169751,ENSG00000199396,1,Ensembl,27,93
458,,OR2V1,37,olfactory receptor family 2 subfamily V member 1,5,q,35.3,8280,,26693,ENSG00000185372,2,Ensembl,23,93
459,,KRT18P14,37,keratin 18 pseudogene 14,11,p,13,6433,,,ENSG00000186082,9,Ensembl,49,93
460,,RP11-293B7.1,37,,1,q,25.3,,,,ENSG00000270994,1,Ensembl,49,93
461,,TTLL3,37,tubulin tyrosine ligase like 3,3,p,25.3,24483,,26140,ENSG00000214021,11,Ensembl,23,93
462,,AL353662.1,37,,9,p,13.3,,,,ENSG00000203511,3,Ensembl,49,93
463,,ST13P13,37,"ST13, Hsp70 interacting protein pseudogene 13",10,q,24.33,38788,,,ENSG00000229256,1,Ensembl,49,93
464,,HIRAP1,37,histone cell cycle regulator pseudogene 1,10,p,12.1,44916,,,ENSG00000271563,1,Ensembl,49,93
465,,CTC-344H19.6,37,,19,q,13.32,,,,ENSG00000268053,1,Ensembl,49,93
466,,CNBD2,37,cyclic nucleotide binding domain containing 2,20,q,11.23,16145,,140894,ENSG00000149646,8,Ensembl,23,93
467,,RP11-44K6.2,37,,8,p,11.21,,,,ENSG00000253838,1,Ensembl,3,93
468,,RP11-274B21.5,37,,7,q,32.1,,,,ENSG00000241493,1,Ensembl,49,93
469,,RPL12P18,37,ribosomal protein L12 pseudogene 18,2,p,11.2,36750,,,ENSG00000213400,3,Ensembl,49,93
470,,RP4-813D12.2,37,,20,q,13.31,,,,ENSG00000235032,1,Ensembl,29,93
471,,B9D1,37,B9 domain containing 1,17,p,11.2,24123,614144,27077,ENSG00000108641,10,Ensembl,23,93
472,,RP11-44F21.2,37,,4,q,13.3,,,101928702,ENSG00000248165,1,Ensembl,29,93
473,,RP11-177A2.5,37,,1,q,25.2,,,,ENSG00000232750,2,Ensembl,49,93
474,,RP11-378I6.1,37,,9,p,21.3,,,,ENSG00000261402,1,Ensembl,45,93
475,,F8A3,37,coagulation factor VIII associated 3,23,q,28,31850,305423,8263,ENSG00000185990,6,Ensembl,23,93
476,,WDR18,37,WD repeat domain 18,19,p,13.3,17956,,57418,ENSG00000065268,6,Ensembl,23,93
477,,RP5-837O21.8,37,,1,p,22.1,,,,ENSG00000250890,1,Ensembl,49,93
478,,RNU4-54P,37,"RNA, U4 small nuclear 54, pseudogene",12,p,11.22,46990,,,ENSG00000252237,1,Ensembl,32,93
479,,CDK12,37,cyclin dependent kinase 12,17,q,12,24224,615514,51755,ENSG00000167258,9,Ensembl,23,93
480,,RSL24D1P8,37,ribosomal L24 domain containing 1 pseudogene 8,19,p,13.2,37873,,,ENSG00000237273,1,Ensembl,49,93
481,,RP11-817O13.8,37,,15,q,24.2,,,,ENSG00000260274,1,Ensembl,45,93
482,,PHLDA3,37,pleckstrin homology like domain family A member 3,1,q,32.1,8934,607054,23612,ENSG00000174307,5,Ensembl,23,93
483,,ALG14,37,"ALG14, UDP-N-acetylglucosaminyltransferase subunit",1,p,21.3,28287,612866,199857,ENSG00000172339,9,Ensembl,23,93
